City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2020-04-01 23:55:23,-33.02,27.91,65.91,70,93,11.16
1,Hermanus,ZA,2020-04-01 23:55:23,-34.42,19.23,63.0,74,0,11.99
2,Saldanha,ZA,2020-04-01 23:55:23,-33.01,17.94,66.2,55,0,5.82
3,Ushuaia,AR,2020-04-01 23:55:23,-54.8,-68.3,55.4,54,75,5.99
4,Geraldton,AU,2020-04-01 23:55:24,-28.77,114.6,69.01,77,75,5.82
5,Rocha,UY,2020-04-01 23:52:26,-34.48,-54.33,67.41,94,95,8.5
6,Gander,CA,2020-04-01 23:55:24,48.97,-54.59,35.6,100,90,8.05
7,Taoudenni,ML,2020-04-01 23:55:24,22.68,-3.98,79.5,15,51,5.99
8,Harper,LR,2020-04-01 23:55:24,4.38,-7.72,81.43,85,100,7.05
9,Hiriyur,IN,2020-04-01 23:55:24,13.95,76.62,74.48,33,42,7.11
10,Sundumbili,ZA,2020-04-01 23:55:24,-29.13,31.4,64.4,82,90,11.41
11,Ponta Do Sol,PT,2020-04-01 23:55:24,32.67,-17.1,59.0,62,20,5.82
12,Jamestown,US,2020-04-01 23:55:24,42.1,-79.24,44.01,38,1,9.17
13,Olafsvik,IS,2020-04-01 23:55:24,64.89,-23.71,24.96,90,80,27.25
14,Vestmanna,FO,2020-04-01 23:55:24,62.16,-7.17,32.0,86,99,31.09
15,Fort Abbas,PK,2020-04-01 23:55:25,29.19,72.85,71.71,39,0,1.79
16,Bereda,ES,2020-04-01 23:55:25,43.27,-7.54,53.01,93,90,5.82
17,San Luis,AR,2020-04-01 23:50:30,-33.3,-66.34,60.8,67,92,9.22
18,Cape Town,ZA,2020-04-01 23:55:25,-33.93,18.42,66.0,70,0,5.01
19,Longyearbyen,SJ,2020-04-01 23:55:25,78.22,15.64,5.0,65,40,9.17
20,Areal,BR,2020-04-01 23:55:25,-22.23,-43.11,75.2,83,75,8.05
21,Mecca,SA,2020-04-01 23:55:25,21.43,39.83,75.47,55,0,2.37
22,Dikson,RU,2020-04-01 23:55:25,73.51,80.55,-6.84,91,98,17.74
23,Bredasdorp,ZA,2020-04-01 23:55:25,-34.53,20.04,63.0,67,1,14.99
24,Porto Santo,PT,2020-04-01 23:55:26,33.07,-16.34,59.0,67,40,3.36
25,Clyde River,CA,2020-04-01 23:55:26,70.47,-68.59,-5.8,76,20,16.11
