City_ID,City,Lat,Lng,Current Conditions,Max Temp,Humidity,Cloudiness,Wind Speed,Rainfall,Snowfall,Country,Date
0,Ribeira Grande,38.52,-28.7,broken clouds,62.6,72,75,5.82,0.0,0.0,PT,2020-04-05 15:52:22
1,Ponta Delgada,37.73,-25.67,light intensity shower rain,59.0,100,75,13.87,0.0,0.0,PT,2020-04-05 15:54:10
2,Muros,42.78,-9.06,overcast clouds,63.0,93,90,10.29,0.0,0.0,ES,2020-04-05 15:52:22
3,Dalbandin,28.89,64.41,few clouds,83.07,11,21,2.37,0.0,0.0,PK,2020-04-05 15:49:14
4,Cape Town,-33.93,18.42,light rain,66.2,72,75,20.8,0.0,0.0,ZA,2020-04-05 15:53:01
5,Terme,41.21,36.97,light rain,51.8,87,75,3.36,0.0,0.0,TR,2020-04-05 15:49:14
6,Georgetown,5.41,100.34,light rain,78.8,100,20,2.24,0.0,0.0,MY,2020-04-05 15:51:16
7,Statesboro,32.45,-81.78,broken clouds,75.99,56,75,4.7,0.0,0.0,US,2020-04-05 15:49:14
8,Saint-Pierre,-21.34,55.48,broken clouds,78.8,78,75,19.46,0.0,0.0,RE,2020-04-05 15:53:12
9,Asyut,27.18,31.18,broken clouds,88.68,14,67,14.72,0.0,0.0,EG,2020-04-05 15:49:14
10,Kahramanmaras,38.0,37.0,broken clouds,64.4,48,75,14.99,0.0,0.0,TR,2020-04-05 15:49:15
11,Kanadukathan,10.18,78.78,few clouds,87.8,66,20,9.17,0.0,0.0,IN,2020-04-05 15:49:15
12,Bambous Virieux,-20.34,57.76,scattered clouds,78.8,78,40,6.93,0.0,0.0,MU,2020-04-05 15:54:11
13,Hofn,64.25,-15.21,drizzle rain,35.6,74,90,25.28,0.0,0.0,IS,2020-04-05 15:54:11
14,Lagoa,39.05,-27.98,light rain,56.95,80,100,18.77,0.68,0.0,PT,2020-04-05 15:44:12
15,Bredasdorp,-34.53,20.04,broken clouds,68.0,52,67,21.92,0.0,0.0,ZA,2020-04-05 15:52:11
16,Port Elizabeth,-33.92,25.57,few clouds,66.2,77,20,16.11,0.0,0.0,ZA,2020-04-05 15:53:11
17,Busselton,-33.65,115.33,overcast clouds,64.99,41,88,11.86,0.0,0.0,AU,2020-04-05 15:51:51
18,Saint-Philippe,-21.36,55.77,broken clouds,78.8,78,75,19.46,0.0,0.0,RE,2020-04-05 15:52:07
19,Vila Franca Do Campo,37.72,-25.43,light intensity shower rain,59.0,100,75,13.87,0.0,0.0,PT,2020-04-05 15:54:12
20,Chuy,-33.7,-53.46,clear sky,73.22,53,0,7.25,0.0,0.0,UY,2020-04-05 15:52:09
21,Punta Arenas,-53.15,-70.92,few clouds,44.6,65,20,25.28,0.0,0.0,CL,2020-04-05 15:54:12
22,Sunderland,54.9,-1.38,overcast clouds,64.99,34,100,16.11,0.0,0.0,GB,2020-04-05 15:49:16
23,Hithadhoo,-0.6,73.08,light rain,83.16,75,94,7.83,0.11,0.0,MV,2020-04-05 15:54:13
24,Guadix,37.3,-3.14,broken clouds,71.6,40,65,10.29,0.0,0.0,ES,2020-04-05 15:49:17
25,Comodoro Rivadavia,-45.87,-67.5,light rain,50.0,61,40,25.28,0.0,0.0,AR,2020-04-05 15:44:52
26,Matagami,49.75,-77.63,light snow,30.2,86,90,14.99,0.0,0.0,CA,2020-04-05 15:44:44
27,Ushuaia,-54.8,-68.3,drizzle,39.2,86,75,13.87,0.0,0.0,AR,2020-04-05 15:49:13
28,Formosa Do Rio Preto,-11.05,-45.19,clear sky,88.43,45,0,5.48,0.0,0.0,BR,2020-04-05 15:49:17
29,Mar Del Plata,-38.0,-57.56,overcast clouds,72.0,68,100,12.75,0.0,0.0,AR,2020-04-05 15:51:53
30,Kalmunai,7.42,81.82,clear sky,82.31,74,0,5.12,0.0,0.0,LK,2020-04-05 15:54:13
31,Rondonopolis,-16.47,-54.64,clear sky,88.9,57,1,5.03,0.0,0.0,BR,2020-04-05 15:49:17
32,Margate,51.38,1.39,clear sky,68.0,39,0,12.75,0.0,0.0,GB,2020-04-05 15:49:43
33,Bengkulu,-3.8,102.27,moderate rain,78.73,84,100,5.41,7.36,0.0,ID,2020-04-05 15:44:18
34,Henties Bay,-22.12,14.28,clear sky,62.01,85,8,5.01,0.0,0.0,NA,2020-04-05 15:54:14
35,Hermanus,-34.42,19.23,light rain,64.0,79,93,10.0,0.28,0.0,ZA,2020-04-05 15:54:14
36,Port Alfred,-33.59,26.89,scattered clouds,64.99,90,28,4.0,0.0,0.0,ZA,2020-04-05 15:54:14
37,Teeli,51.03,90.23,scattered clouds,30.42,61,42,1.97,0.0,0.0,RU,2020-04-05 15:49:18
38,Jamestown,42.1,-79.24,broken clouds,48.99,81,75,9.17,0.0,0.0,US,2020-04-05 15:50:43
39,Hambantota,6.12,81.12,few clouds,80.6,94,20,2.24,0.0,0.0,LK,2020-04-05 15:54:15
40,Tirano,46.22,10.17,overcast clouds,64.0,45,86,12.75,0.0,0.0,IT,2020-04-05 15:49:18
41,Sao Filipe,14.9,-24.5,clear sky,74.48,73,1,14.52,0.0,0.0,CV,2020-04-05 15:54:15
42,Manta,-0.95,-80.73,scattered clouds,84.2,70,40,6.93,0.0,0.0,EC,2020-04-05 15:49:18
43,Puri,19.8,85.85,mist,82.4,88,20,12.59,0.0,0.0,IN,2020-04-05 15:49:19
44,Meulaboh,4.14,96.13,light rain,80.47,80,100,5.06,0.2,0.0,ID,2020-04-05 15:44:30
45,Pangnirtung,66.15,-65.71,clear sky,16.81,82,0,5.91,0.0,0.0,CA,2020-04-05 15:54:16
46,Axim,4.87,-2.24,clear sky,88.47,62,0,12.01,0.0,0.0,GH,2020-04-05 15:44:26
47,Bata,1.86,9.77,scattered clouds,89.6,70,40,11.41,0.0,0.0,GQ,2020-04-05 15:49:19
48,Musoma,-1.5,33.8,few clouds,80.6,69,20,5.82,0.0,0.0,TZ,2020-04-05 15:49:20
49,Horki,54.29,30.98,broken clouds,43.5,53,73,14.14,0.0,0.0,BY,2020-04-05 15:49:20
50,Sao Joao Da Barra,-21.64,-41.05,broken clouds,80.6,65,75,5.82,0.0,0.0,BR,2020-04-05 15:44:28
51,Torbay,47.67,-52.73,overcast clouds,32.0,79,90,14.99,0.0,0.0,CA,2020-04-05 15:54:16
52,Ust-Koksa,50.27,85.61,clear sky,40.05,44,0,4.5,0.0,0.0,RU,2020-04-05 15:49:20
53,Qaanaaq,77.48,-69.36,overcast clouds,16.36,87,100,3.85,0.0,0.0,GL,2020-04-05 15:54:17
54,Tevriz,57.51,72.4,light rain,36.52,88,100,12.12,0.98,0.0,RU,2020-04-05 15:49:20
55,Cidreira,-30.18,-50.21,clear sky,74.82,60,0,10.6,0.0,0.0,BR,2020-04-05 15:52:33
56,Harper,4.38,-7.72,broken clouds,87.57,67,61,7.67,0.0,0.0,LR,2020-04-05 15:54:17
57,Quebec,46.81,-71.21,overcast clouds,44.6,92,90,3.36,0.0,0.0,CA,2020-04-05 15:46:18
58,Potchefstroom,-26.72,27.1,clear sky,75.45,20,0,5.86,0.0,0.0,ZA,2020-04-05 15:49:21
